type,gene.name,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous,TFDP1,NM_007111.4,946.622641509434,0.5858120418207589,0.17286203152331198,3.3888994399661265,7.017374014996626e-4,0.003957798944458097
Endogenous,LTBP1,NM_000627.3,347.6981132075472,0.5853285187709362,0.18580307713396185,3.1502627825098997,0.0016312366688402706,0.007666812343549272
Endogenous,NOTCH1,NM_017617.3,374.58490566037733,0.5773558233644659,0.13528559783990965,4.267681353987736,1.975151843195437e-5,2.2279712791244529e-4
Endogenous,KIT,NM_000222.1,77.49056603773585,0.5655320825120839,0.23281357019446114,2.4291199264704133,0.015135524913691075,0.04664615897570283
Endogenous,SOCS1,NM_003745.1,118.33962264150944,0.5611300631011377,0.20658001843060775,2.7162843113484705,0.006601919675868611,0.024658825809204612
Endogenous,MAP3K13,NM_004721.3,98.98113207547169,0.5562407742590986,0.15142881831553562,3.6732821430333504,2.3945483676676284e-4,0.0016673151597093117
Endogenous,MAD2L2,NM_001127325.1,383.1132075471698,0.5496303441458917,0.12697569971986794,4.328626228156086,1.5004232745936121e-5,1.7270178099404026e-4
Endogenous,FANCB,NM_152633.2,45.943396226415096,0.54346316451712,0.11994475481141799,4.530945645531351,5.872024648256437e-6,7.885290241944358e-5
Endogenous,MCM5,NM_006739.3,106.69811320754717,0.5268234465828983,0.12467402415885157,4.225607139396206,2.3829741279786237e-5,2.5846104003460457e-4
Endogenous,BRIP1,NM_032043.1,174.52830188679246,0.5256860757547781,0.20459456334624737,2.5694039331100345,0.010187363343244661,0.033998064648461473
Endogenous,PLD1,NM_002662.3,119.16981132075472,0.5232307231974737,0.16324194697563163,3.205246769542514,0.0013494673138767304,0.006561203146779965
Endogenous,EPHA2,NM_004431.2,64.52830188679245,0.5150343875917054,0.18225847685993632,2.825845998853067,0.004715592930929508,0.018598562328980717
Endogenous,RPS27A,NM_002954.5,26209.754716981133,0.5149673167052763,0.1229895315506763,4.187082511921679,2.825631233675362e-5,3.00689814300548e-4
Endogenous,IDH1,NM_005896.2,301.64150943396226,0.5124606048233474,0.18542233687123785,2.763747957611027,0.005714165833843902,0.021863640073409244
Endogenous,NOTCH2,NM_024408.3,1105.867924528302,0.5119521044206851,0.1703611231272779,3.0050993737473912,0.002654940929940128,0.011430432706001772
Endogenous,CREB5,NM_182898.2,133.24528301886792,0.5018835159577569,0.1816818233465625,2.7624310826097442,0.005737267253305972,0.021863640073409244
Endogenous,PKMYT1,NM_004203.3,170.8679245283019,0.5000058703971514,0.16979301411890568,2.9447964805371694,0.0032316715982697395,0.01330410789360681
Endogenous,MCM7,NM_182776.1,943.0754716981132,0.4943933455838286,0.10392069056843105,4.757410125736934,1.9609251379514947e-6,3.0721160494573414e-5
Endogenous,E2F1,NM_005225.1,135.0754716981132,0.4829200536582709,0.1813111762871044,2.6634875110708673,0.007733528253163835,0.02743213795461889
Endogenous,GNAS,NM_080425.1,2388.509433962264,0.45981719000359866,0.1412854414531984,3.254526335297722,0.0011358162873600763,0.005877067762120027
Endogenous,FEN1,NM_004111.4,131.49056603773585,0.45911399292404603,0.13600062420561917,3.37582268909231,7.35953321689993e-4,0.004109679934981743
Endogenous,DNMT3A,NM_022552.3,445.188679245283,0.44754058687392395,0.11567148627348225,3.8690657593506073,1.0925317553321221e-4,8.712230542765455e-4
Endogenous,BID,NM_197966.1,188.49056603773585,0.435323318653832,0.12198231134072987,3.5687413516690567,3.587003255480705e-4,0.002352406786152462
Endogenous,NASP,NM_172164.1,91.0377358490566,0.4305755674703019,0.14519740744166362,2.965449418532459,0.0030224104233323407,0.012816838186161203
Endogenous,FANCE,NM_021922.2,67.35849056603773,0.4302102761000488,0.1076480679041383,3.996451441034273,6.429906345981552e-5,5.849140611505799e-4
Endogenous,SMARCA4,NM_003072.3,904.2830188679245,0.42926810596560117,0.10938097933063015,3.9245224223860324,8.690196532199263e-5,7.315329618149827e-4
Endogenous,TCF3,NM_003200.2,499.5660377358491,0.4237619101805767,0.14618587225705124,2.8987883961552696,0.003746076190109447,0.015199906267782216
Endogenous,SMARCB1,NM_003073.3,897.7547169811321,0.4195336434769969,0.1059670334264221,3.9590958613397333,7.523403700996067e-5,6.429090435396638e-4
Endogenous,CUL1,NM_003592.2,759.3018867924528,0.41193757318918406,0.07999647815048241,5.149446359554516,2.6125647451499393e-7,5.8939460650582625e-6
Endogenous,FBXW7,NM_018315.4,168.33962264150944,0.405967301764371,0.16796357373778972,2.4169960946302096,0.01564918502637754,0.04770886678311855
Endogenous,PRKDC,NM_006904.6,1523.9433962264152,0.4008694107925994,0.14066744935769934,2.849766684638176,0.004375131020388079,0.017377280954217443
Endogenous,NRAS,NM_002524.3,294.0566037735849,0.3961033623871905,0.13168556060817652,3.0079483320557467,0.0026301785087917947,0.011410928299681324
Endogenous,PPP3R1,NM_000945.3,1388.754716981132,0.3805845636979712,0.08951246224736989,4.251749467534659,2.1210706398175257e-5,2.345654589915852e-4
Endogenous,DNMT1,NM_001379.2,562.0377358490566,0.3658929277756714,0.12148021809388161,3.0119548146752932,0.0025957123208391075,0.01139972357300428
Endogenous,HELLS,NM_018063.3,183.50943396226415,0.3625615940047639,0.13544006685136017,2.676915350334699,0.007430340504182029,0.02668025815886139
Endogenous,FANCC,NM_000136.2,152.24528301886792,0.3593696298817524,0.1219809001646256,2.946113935843617,0.00321793843797683,0.01330410789360681
Endogenous,U2AF1,NM_001025203.1,2063.6603773584907,0.35684148677035205,0.12268848893648703,2.9085164375533274,0.003631480851297253,0.014841704348780078
Endogenous,MSH2,NM_000251.1,379.9622641509434,0.35123243322821596,0.09734099276734302,3.60826845137798,3.0824744978200807e-4,0.0021201409960616164
Housekeeping,MRPS5,NM_031902.3,513.6037735849056,0.3465451272926683,0.07979078788415868,4.343172144079929,1.4044000182173576e-5,1.6501700214053953e-4
Endogenous,SOS1,NM_005633.2,479.66037735849056,0.3424660311245841,0.08510874786170951,4.0238640530941225,5.725097322431429e-5,5.381591483085543e-4
Housekeeping,PRPF38A,NM_032864.3,569.811320754717,0.3353618344694828,0.12678263949751856,2.6451715771073423,0.008164950435620617,0.028602683513602657
Endogenous,MSH6,NM_000179.1,275.75471698113205,0.3353495828473609,0.10413139518628786,3.2204464585097585,0.001279910982632793,0.006332191177235924
Endogenous,SYK,NM_003177.3,296.52830188679246,0.33265106413770223,0.12435106773261066,2.675096162849156,0.0074707817959364315,0.02668025815886139
Endogenous,PIK3CB,NM_006219.1,230.73584905660377,0.3080446644209589,0.12263961812134426,2.5117875376631384,0.012012138356219025,0.039844051899298884
Endogenous,MYD88,NM_002468.3,630.3962264150944,0.28146738480678873,0.11422605372868436,2.4641259644261604,0.01373478327540832,0.043519200940057824
Endogenous,POLD1,NM_002691.2,56.56603773584906,0.27548538383313387,0.10466179901945362,2.632148371364504,0.008484680040938499,0.029366455513077653
Endogenous,NF2,NM_181828.2,461.188679245283,0.2639163922000417,0.10966187835693345,2.4066375312397286,0.01610014060990261,0.048819781204220813
Endogenous,KMT2C,NM_170606.2,1062.7735849056603,0.25697662835125673,0.10477733429198673,2.4525975020048785,0.014182893671022967,0.04468800017015058
Endogenous,CDK4,NM_000075.2,451.39622641509436,0.2566104325598978,0.09352839144214631,2.7436634865962475,0.00607577858581475,0.02284492748266346
Endogenous,ATR,NM_001184.2,409.75471698113205,0.2491731197007343,0.09995924870366388,2.492747023733895,0.012675912302892134,0.04111444972784211
Endogenous,POLR2D,NM_004805.3,316.75471698113205,0.23056358474966326,0.06874905796530768,3.35369809526715,7.97393132716959e-4,0.004409114969140832
Endogenous,BCOR,NM_001123383.1,231.9433962264151,-0.20858093814091352,0.0831070055996781,-2.509787672361058,0.012080377437553386,0.039844051899298884
Endogenous,STK11,NM_000455.4,384.37735849056605,-0.25102532242200903,0.10182081755904374,-2.4653634535633615,0.013687433340388093,0.043519200940057824
Endogenous,SIN3A,NM_015477.1,343.5660377358491,-0.2585138224363391,0.061960428474054016,-4.172240715614031,3.016187391168218e-5,3.1502401641090276e-4
Endogenous,ARID2,NM_152641.2,440.37735849056605,-0.26216234568748764,0.08512141619326176,-3.0798635338992457,0.00207095460947619,0.00965304462598819
Endogenous,KMT2D,NM_003482.3,329.24528301886795,-0.27261455107801275,0.08393537843214177,-3.2479099537081395,0.0011625605589476178,0.005907064461679787
Housekeeping,TTC31,NR,281.49056603773585,-0.28783286337779856,0.0844332732629105,-3.408998043715979,6.520194727086806e-4,0.0037524385980377125
Endogenous,CIC,NM_015125.3,290.24528301886795,-0.29099528585676443,0.10780575292590071,-2.6992556330159614,0.0069494772046805936,0.025451332100258798
Endogenous,XPA,NM_000380.3,210.96226415094338,-0.29331761053015254,0.08354929308587382,-3.51071325317707,4.469061875328354e-4,0.0027397292366143386
Endogenous,STAT3,NM_139276.2,2174.698113207547,-0.30730979243444523,0.12350604753403771,-2.488216557571823,0.01283855299756233,0.041376822232143735
Endogenous,NTHL1,NM_002528.5,162.20754716981133,-0.32284037440700764,0.13466148778134626,-2.3974217107359816,0.016510908899205628,0.04979760758904799
Housekeeping,ZC3H14,NM_001160103.1,535.1698113207547,-0.33294847210929235,0.11561202290532052,-2.8798775745145266,0.003978296190131022,0.016026850365956403
Endogenous,MGMT,NM_002412.3,394.20754716981133,-0.34682779027700367,0.13914779918750583,-2.492513660310522,0.012684245128802354,0.04111444972784211
Housekeeping,COG7,NM_153603.3,425.45283018867923,-0.3705527155117865,0.07853692760622838,-4.718197245627925,2.379437393301699e-6,3.531586025847785e-5
Endogenous,PPP3CB,NM_001142354.1,196.83018867924528,-0.404015954683977,0.13279300422596735,-3.042449088631829,0.002346615089164344,0.010600055868541609
Endogenous,ACVR1B,NM_004302.3,135.49056603773585,-0.43208291245173946,0.12006004414822491,-3.5988901679754033,3.195781136748344e-4,0.0021457387632453167
Endogenous,FZD2,NM_001466.2,54.660377358490564,-0.4422524173865939,0.18219579435795252,-2.4273470139366604,0.015209700077027625,0.04664615897570283
Endogenous,DDB2,NM_000107.1,139.49056603773585,-0.4505421559571406,0.12690846532453906,-3.550134774736919,3.8503397867328885e-4,0.002439990606423988
Housekeeping,ZNF346,NM_012279.2,124.05660377358491,-0.45055709857358345,0.140147623794418,-3.2148750465759153,0.0013050131495840561,0.006400238403177458
Housekeeping,NUBP1,NM_001278506.1,68.86792452830188,-0.45361302566997064,0.13027672249881725,-3.481919232916601,4.978338237664874e-4,0.002987002942598924
Endogenous,SMAD3,NM_005902.3,396.9056603773585,-0.4768875555593693,0.1760041411739641,-2.7095246303779255,0.006737970210642184,0.025001415781593365
Endogenous,WHSC1L1,NM_017778.2,791.811320754717,-0.48279723034952976,0.19721590064574013,-2.448064424667161,0.01436259718149372,0.04500280450201366
Housekeeping,TMUB2,NM_024107.2,455.79245283018867,-0.48356253640761565,0.09842994801930029,-4.912758221845225,8.980399247407204e-7,1.5827953673555195e-5
Endogenous,MNAT1,NM_002431.2,235.67924528301887,-0.4899208186600657,0.13686945831854833,-3.5794751048099416,3.4428504330961046e-4,0.002284432522666121
Endogenous,SKP1,NM_170679.2,3221.3396226415093,-0.4911034210717581,0.09994849320725512,-4.913565030474213,8.943504929022161e-7,1.5827953673555195e-5
Endogenous,EPOR,NM_000121.2,74.22641509433963,-0.49832457276501807,0.16840221079604192,-2.959133199079893,0.0030850572352544192,0.012984867766294721
Endogenous,POLD4,NM_021173.2,768.811320754717,-0.5101372862581645,0.19490092357433256,-2.617418516560313,0.008859763844684614,0.030284283687285588
Endogenous,FUT8,NM_004480.4,359.8490566037736,-0.5108201636666077,0.16729708703136098,-3.0533715364144443,0.002262855840433518,0.010376021902475644
Endogenous,MAPK3,NM_001040056.1,611.8679245283018,-0.5211408782308454,0.1284556263666506,-4.0569719908052475,4.9713041150938177e-5,4.8341646912291605e-4
Endogenous,CDKN1B,NM_004064.2,200.66037735849056,-0.5212483608305073,0.16352727284107077,-3.1875316684153305,0.0014349274368564771,0.006917086105872249
Endogenous,RASA4,NM_001079877.2,253.49056603773585,-0.5316367772071516,0.18591510935821143,-2.859567353306513,0.004242193232499876,0.016968772929999505
Endogenous,LAMA5,NM_005560.3,537.6603773584906,-0.5407004868898545,0.21685236194062524,-2.4934037243177447,0.012652489160774145,0.04111444972784211
Endogenous,MAP3K1,NM_005921.1,622.622641509434,-0.5506049360381629,0.14500733977026295,-3.797083215997849,1.4640865097735928e-4,0.0011009930553497417
Endogenous,MDM2,NM_006878.2,1286.6415094339623,-0.5615771099259327,0.1484091968044008,-3.78397782629385,1.543415801610275e-4,0.0011453769896160463
Endogenous,CBLC,NM_012116.3,60.867924528301884,-0.577270946689918,0.20618084134650286,-2.79982826202445,0.005112980081889957,0.01988772942197197
Endogenous,HDAC11,NM_024827.3,206.0943396226415,-0.5935528434844404,0.17731330068878962,-3.347480652487605,8.154967997318221e-4,0.004465438786881045
Endogenous,POLB,NM_002690.1,292.7169811320755,-0.604691679196862,0.15629078109221067,-3.8690169373464025,1.0927505184870344e-4,8.712230542765455e-4
Endogenous,RAD50,NM_005732.2,236.66037735849056,-0.6223685256094145,0.13615888903366466,-4.570898969773003,4.856363859709479e-6,7.0230492740414e-5
Endogenous,HGF,NM_000601.4,161,-0.6344605625356555,0.16916642537556154,-3.750511137934775,1.7647446558831305e-4,0.0012736393746175557
Endogenous,GLI3,NM_000168.5,332.3018867924528,-0.6379809427346187,0.21191207500166662,-3.010592684393285,0.002607383583187149,0.01139972357300428
Endogenous,TSPAN7,NM_004615.3,76.60377358490567,-0.6460876042022031,0.26619169861641234,-2.427151588724893,0.015217895836044895,0.04664615897570283
Endogenous,CDC14A,NM_033313.2,181.0754716981132,-0.6540400286590742,0.19939310999447285,-3.2801536054942124,0.0010375058246710448,0.005520314010513861
